XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4c
alveo1a
alveo4b
alveo1b
alveo2b
alveo2a
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:524288, num_elements:131072, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:100
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:524288, num_elements:131072, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:100
Start Bcast test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:100
iteration:0, time[s]:0.001699
iteration:1, time[s]:0.001129
iteration:2, time[s]:0.000986
iteration:3, time[s]:0.000999
iteration:4, time[s]:0.000978
iteration:5, time[s]:0.000951
iteration:6, time[s]:0.000879
iteration:7, time[s]:0.000919
iteration:8, time[s]:0.000871
iteration:9, time[s]:0.000877
iteration:10, time[s]:0.000914
iteration:11, time[s]:0.000859
iteration:12, time[s]:0.000836
iteration:13, time[s]:0.000917
iteration:14, time[s]:0.001000
iteration:15, time[s]:0.000872
iteration:16, time[s]:0.000818
iteration:17, time[s]:0.000888
iteration:18, time[s]:0.000888
iteration:19, time[s]:0.000831
iteration:20, time[s]:0.000822
iteration:21, time[s]:0.000865
iteration:22, time[s]:0.000842
iteration:23, time[s]:0.000874
iteration:24, time[s]:0.000838
iteration:25, time[s]:0.000803
iteration:26, time[s]:0.000817
iteration:27, time[s]:0.000811
iteration:28, time[s]:0.000886
iteration:29, time[s]:0.000764
iteration:30, time[s]:0.000842
iteration:31, time[s]:0.000832
iteration:32, time[s]:0.000806
iteration:33, time[s]:0.000817
iteration:34, time[s]:0.000766
iteration:35, time[s]:0.000834
iteration:36, time[s]:0.000718
iteration:37, time[s]:0.000742
iteration:38, time[s]:0.000806
iteration:39, time[s]:0.000775
iteration:40, time[s]:0.000789
iteration:41, time[s]:0.000776
iteration:42, time[s]:0.000753
iteration:43, time[s]:0.000761
iteration:44, time[s]:0.000806
iteration:45, time[s]:0.000828
iteration:46, time[s]:0.000785
iteration:47, time[s]:0.000737
iteration:48, time[s]:0.000767
iteration:49, time[s]:0.000754
iteration:50, time[s]:0.000784
iteration:51, time[s]:0.000726
iteration:52, time[s]:0.000771
iteration:53, time[s]:0.000728
iteration:54, time[s]:0.000716
iteration:55, time[s]:0.000757
iteration:56, time[s]:0.000770
iteration:57, time[s]:0.000719
iteration:58, time[s]:0.000763
iteration:59, time[s]:0.000778
iteration:60, time[s]:0.000763
iteration:61, time[s]:0.000716
iteration:62, time[s]:0.000754
iteration:63, time[s]:0.000733
iteration:64, time[s]:0.000776
iteration:65, time[s]:0.000751
iteration:66, time[s]:0.000722
iteration:67, time[s]:0.000765
iteration:68, time[s]:0.000771
iteration:69, time[s]:0.000755
iteration:70, time[s]:0.000739
iteration:71, time[s]:0.000816
iteration:72, time[s]:0.000745
iteration:73, time[s]:0.000760
iteration:74, time[s]:0.000779
iteration:75, time[s]:0.000838
iteration:76, time[s]:0.000757
iteration:77, time[s]:0.000723
iteration:78, time[s]:0.000705
iteration:79, time[s]:0.000723
iteration:80, time[s]:0.000713
iteration:81, time[s]:0.000766
iteration:82, time[s]:0.000893
iteration:83, time[s]:0.000683
iteration:84, time[s]:0.000827
iteration:85, time[s]:0.000854
iteration:86, time[s]:0.000754
iteration:87, time[s]:0.000862
iteration:88, time[s]:0.000726
iteration:89, time[s]:0.000801
iteration:90, time[s]:0.000721
iteration:91, time[s]:0.000729
iteration:92, time[s]:0.000756
iteration:93, time[s]:0.000744
iteration:94, time[s]:0.000752
iteration:95, time[s]:0.000717
iteration:96, time[s]:0.000838
iteration:97, time[s]:0.000770
iteration:98, time[s]:0.000855
iteration:99, time[s]:0.000759
iteration:100, time[s]:0.000843
Data size = 524288, Trials = 100
Avg MPI time [us]= *803.971820, throughput [Gbps] = 5.216979
