experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,288.4740000013153,0.11359082620912317,825.9689999761122,0.03967219108822206
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,251.67100000089704,0.13020173162534898,438.16400000196154,0.07478478377925458
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,247.94900002689246,0.1321562095287579,347.9009999978189,0.09418771432161861
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,234.6020000061344,0.13967485357815868,295.45600000346894,0.11090653092039177
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,248.15899999452995,0.13204437477875997,345.25700002063786,0.09490900980441028
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,241.15799999435694,0.13587772332150194,351.4950000180761,0.09322465468446169
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,236.31299998783106,0.13866355216042872,379.11200001872203,0.08643356052665647
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,243.12700000450604,0.13477729745932246,399.19400001053873,0.08208540208303462
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,240.03299998298644,0.13651456259065461,394.0050000039719,0.08316645727762255
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,232.43499998670814,0.14097704735463182,331.92899999789915,0.09871990696868123
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,236.2220000122761,0.13871696962305413,339.9659999843152,0.09638610920360212
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,239.82799999089366,0.13663125240273952,329.6280000029128,0.09940903078534116
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,247.087999980522,0.13261671955976456,395.3480000120635,0.08288394022228551
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,245.42899998891698,0.13351315452322152,308.61199999776545,0.10617863206951532
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,246.02400000617308,0.13319025785767977,356.23400000872607,0.09198448210782052
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,238.02400002637114,0.13766678988828676,356.9529999936094,0.09179920045660536
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,243.58999999662956,0.13452112155857546,352.7359999964119,0.09289667059878584
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,238.59800000991527,0.1373356021368087,357.21699998703116,0.09173135657370632
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,234.69999999292668,0.13961653174685792,372.3540000066805,0.08800227740110782
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,247.80300000770694,0.1322340730297086,347.7639999971416,0.0942248191309892
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,224.60100001353567,0.2917885494545904,374.983000000384,0.1747705895998829
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,276.6909999820655,0.2368562765115161,359.8229999965952,0.1821339936597164
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,227.08100001977982,0.28860186450778136,344.9209999928371,0.19000292821069456
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,249.11699998142467,0.263073174471781,331.2460000017836,0.19784691739567306
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,273.2830000127251,0.23981001378405678,367.2139999935098,0.1784681411960282
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,237.03799999452713,0.27647887681094646,348.73600000651095,0.18792438979278434
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,218.82400000095004,0.2994918290485297,289.5689999888873,0.22632256906821882
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,233.7230000080126,0.2804003029130777,316.1829999953625,0.20727237075036048
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,217.67300000874457,0.30107546639853,329.1020000233402,0.19913583021480308
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,239.78400000146394,0.27331264804824296,364.4069999779731,0.17984286801285754
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,265.232999993259,0.24708840906548443,358.8080000156424,0.18264921628598843
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,240.30899999161193,0.27271554541148085,328.91299997572787,0.19925025768162472
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,232.94199999668308,0.2813404195075735,381.76500001441127,0.17166581535113506
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,258.2269999891196,0.253792206092939,430.82100000901846,0.15211886142650455
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,243.09600001970466,0.26958896894514034,340.3569999989031,0.1925507628760719
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,278.250000008029,0.23552920035259273,522.9249999842978,0.12532581154461517
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,277.2150000112106,0.23640856374059746,483.35899998619425,0.13558452413603936
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,292.58000000709217,0.2239934376868255,397.0330000129252,0.1650643649214713
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,242.69900001172573,0.27002995478693237,353.0860000182656,0.1856091716936093
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,289.3580000034035,0.22648760358873488,398.9129999979468,0.16428644842443668
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,251.40099998566257,0.5213662634893061,374.0080000227408,0.35045239671886813
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,233.42599999409686,0.561514141540851,331.25100000575003,0.39568786206751005
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,249.4100000092203,0.5255282466426946,326.3939999840204,0.40157600938257754
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,232.64899999730915,0.5633894837352235,313.18300000293675,0.41851569209941447
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,251.40300002135518,0.5213621157618096,330.80300002552576,0.3962237343370105
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,242.67399999189365,0.5401155459768181,342.1499999944899,0.38308344294055474
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,239.037000000053,0.5483335215885864,339.5329999875685,0.3860361143240834
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,247.3650000069938,0.5298728599288265,369.65600000371523,0.3545783106420095
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,259.54599999522543,0.5050048931688841,373.589000020047,0.35084544778611415
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,256.59499999619584,0.5108127594144204,401.8289999976332,0.326188503071635
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,243.56299999794828,0.5381441351974812,328.13000001397086,0.3994514369134773
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,233.4780000126102,0.5613890815962136,317.1699999882094,0.4132547214581219
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,229.20899999689937,0.5718449101116146,312.69600000882747,0.41916749813333015
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,205.66500000995802,0.6373082439581537,349.2400000197904,0.37530637954579243
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,219.28900000034446,0.5977135196010475,332.9540000152065,0.3936639896022086
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,247.5449999792545,0.5294875679613181,335.92900001622183,0.39017768633750166
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,256.13599999019243,0.5117281444428695,331.35900000047513,0.39555889533651434
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,245.39499997899838,0.5341266122423747,374.69800000167197,0.3498070446050289
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Reduce,234.33299998032453,0.5593407672457797,379.9410000056014,0.3449798784497268
