XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3b
alveo2a
alveo1a
alveo1b
alveo2b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:100
Start All-gather test:
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:262144, num_elements:65536, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:100
iteration:0, time[s]:0.001888
iteration:1, time[s]:0.000907
iteration:2, time[s]:0.000850
iteration:3, time[s]:0.000804
iteration:4, time[s]:0.000784
iteration:5, time[s]:0.000727
iteration:6, time[s]:0.000705
iteration:7, time[s]:0.000707
iteration:8, time[s]:0.000691
iteration:9, time[s]:0.000746
iteration:10, time[s]:0.000727
iteration:11, time[s]:0.000766
iteration:12, time[s]:0.000716
iteration:13, time[s]:0.000760
iteration:14, time[s]:0.000746
iteration:15, time[s]:0.000745
iteration:16, time[s]:0.000742
iteration:17, time[s]:0.000658
iteration:18, time[s]:0.000645
iteration:19, time[s]:0.000618
iteration:20, time[s]:0.000615
iteration:21, time[s]:0.000615
iteration:22, time[s]:0.000634
iteration:23, time[s]:0.000624
iteration:24, time[s]:0.000613
iteration:25, time[s]:0.000585
iteration:26, time[s]:0.000593
iteration:27, time[s]:0.000612
iteration:28, time[s]:0.000602
iteration:29, time[s]:0.000639
iteration:30, time[s]:0.000610
iteration:31, time[s]:0.000597
iteration:32, time[s]:0.000589
iteration:33, time[s]:0.000616
iteration:34, time[s]:0.000589
iteration:35, time[s]:0.000606
iteration:36, time[s]:0.000610
iteration:37, time[s]:0.000582
iteration:38, time[s]:0.000610
iteration:39, time[s]:0.000553
iteration:40, time[s]:0.000582
iteration:41, time[s]:0.000597
iteration:42, time[s]:0.000581
iteration:43, time[s]:0.000582
iteration:44, time[s]:0.000592
iteration:45, time[s]:0.000623
iteration:46, time[s]:0.000607
iteration:47, time[s]:0.000576
iteration:48, time[s]:0.000581
iteration:49, time[s]:0.000641
iteration:50, time[s]:0.000622
iteration:51, time[s]:0.000576
iteration:52, time[s]:0.000587
iteration:53, time[s]:0.000599
iteration:54, time[s]:0.000565
iteration:55, time[s]:0.000586
iteration:56, time[s]:0.000571
iteration:57, time[s]:0.000565
iteration:58, time[s]:0.000587
iteration:59, time[s]:0.000576
iteration:60, time[s]:0.000586
iteration:61, time[s]:0.000626
iteration:62, time[s]:0.000549
iteration:63, time[s]:0.000565
iteration:64, time[s]:0.000600
iteration:65, time[s]:0.000603
iteration:66, time[s]:0.000607
iteration:67, time[s]:0.000594
iteration:68, time[s]:0.000575
iteration:69, time[s]:0.000553
iteration:70, time[s]:0.000573
iteration:71, time[s]:0.000558
iteration:72, time[s]:0.000579
iteration:73, time[s]:0.000562
iteration:74, time[s]:0.000560
iteration:75, time[s]:0.000560
iteration:76, time[s]:0.000566
iteration:77, time[s]:0.000624
iteration:78, time[s]:0.000600
iteration:79, time[s]:0.000600
iteration:80, time[s]:0.000589
iteration:81, time[s]:0.000567
iteration:82, time[s]:0.000547
iteration:83, time[s]:0.000566
iteration:84, time[s]:0.000574
iteration:85, time[s]:0.000601
iteration:86, time[s]:0.000562
iteration:87, time[s]:0.000565
iteration:88, time[s]:0.000587
iteration:89, time[s]:0.000650
iteration:90, time[s]:0.000593
iteration:91, time[s]:0.000578
iteration:92, time[s]:0.000615
iteration:93, time[s]:0.000651
iteration:94, time[s]:0.000607
iteration:95, time[s]:0.000623
iteration:96, time[s]:0.000584
iteration:97, time[s]:0.000654
iteration:98, time[s]:0.000583
iteration:99, time[s]:0.000563
iteration:100, time[s]:0.000593
Data size = 262144, Trials = 100
Avg MPI time [us]= *620.213170, throughput [Gbps] = 3.381341
