alveo1a, bytes:16384, num_elements:4096, num_trials:100
alveo4b, bytes:16384, num_elements:4096, num_trials:100
alveo3b, bytes:16384, num_elements:4096, num_trials:100
alveo1b, bytes:16384, num_elements:4096, num_trials:100
alveo2b, bytes:16384, num_elements:4096, num_trials:100
alveo2a, bytes:16384, num_elements:4096, num_trials:100
iteration:0, time[s]:0.001057
iteration:1, time[s]:0.000287
iteration:2, time[s]:0.000263
iteration:3, time[s]:0.000299
iteration:4, time[s]:0.000257
iteration:5, time[s]:0.000261
iteration:6, time[s]:0.000279
iteration:7, time[s]:0.000263
iteration:8, time[s]:0.000275
iteration:9, time[s]:0.000286
iteration:10, time[s]:0.000298
iteration:11, time[s]:0.000266
iteration:12, time[s]:0.000290
iteration:13, time[s]:0.000268
iteration:14, time[s]:0.000274
iteration:15, time[s]:0.000285
iteration:16, time[s]:0.000268
iteration:17, time[s]:0.000262
iteration:18, time[s]:0.000297
iteration:19, time[s]:0.000259
iteration:20, time[s]:0.000261
iteration:21, time[s]:0.000289
iteration:22, time[s]:0.000276
iteration:23, time[s]:0.000265
iteration:24, time[s]:0.000286
iteration:25, time[s]:0.000272
iteration:26, time[s]:0.000263
iteration:27, time[s]:0.000249
iteration:28, time[s]:0.000258
iteration:29, time[s]:0.000265
iteration:30, time[s]:0.000258
iteration:31, time[s]:0.000251
iteration:32, time[s]:0.000254
iteration:33, time[s]:0.000271
iteration:34, time[s]:0.000251
iteration:35, time[s]:0.000254
iteration:36, time[s]:0.000250
iteration:37, time[s]:0.000279
iteration:38, time[s]:0.000249
iteration:39, time[s]:0.000273
iteration:40, time[s]:0.000247
iteration:41, time[s]:0.000247
iteration:42, time[s]:0.000256
iteration:43, time[s]:0.000248
iteration:44, time[s]:0.000240
iteration:45, time[s]:0.000265
iteration:46, time[s]:0.000252
iteration:47, time[s]:0.000252
iteration:48, time[s]:0.000242
iteration:49, time[s]:0.000251
iteration:50, time[s]:0.000246
iteration:51, time[s]:0.000269
iteration:52, time[s]:0.000238
iteration:53, time[s]:0.000249
iteration:54, time[s]:0.000237
iteration:55, time[s]:0.000266
iteration:56, time[s]:0.000241
iteration:57, time[s]:0.000244
iteration:58, time[s]:0.000255
iteration:59, time[s]:0.000263
iteration:60, time[s]:0.000241
iteration:61, time[s]:0.000252
iteration:62, time[s]:0.000226
iteration:63, time[s]:0.000219
iteration:64, time[s]:0.000228
iteration:65, time[s]:0.000213
iteration:66, time[s]:0.000210
iteration:67, time[s]:0.000224
iteration:68, time[s]:0.000227
iteration:69, time[s]:0.000220
iteration:70, time[s]:0.000235
iteration:71, time[s]:0.000245
iteration:72, time[s]:0.000221
iteration:73, time[s]:0.000208
iteration:74, time[s]:0.000224
iteration:75, time[s]:0.000222
iteration:76, time[s]:0.000223
iteration:77, time[s]:0.000211
iteration:78, time[s]:0.000213
iteration:79, time[s]:0.000230
iteration:80, time[s]:0.000266
iteration:81, time[s]:0.000222
iteration:82, time[s]:0.000218
iteration:83, time[s]:0.000223
iteration:84, time[s]:0.000292
iteration:85, time[s]:0.000235
iteration:86, time[s]:0.000240
iteration:87, time[s]:0.000231
iteration:88, time[s]:0.000312
iteration:89, time[s]:0.000267
iteration:90, time[s]:0.000212
iteration:91, time[s]:0.000220
iteration:92, time[s]:0.000284
iteration:93, time[s]:0.000275
iteration:94, time[s]:0.000215
iteration:95, time[s]:0.000217
iteration:96, time[s]:0.000390
iteration:97, time[s]:0.000332
iteration:98, time[s]:0.000311
iteration:99, time[s]:0.000318
iteration:100, time[s]:0.000396
Allgather per rank send element count:682, byte count:2728, trials:100, Avg MPI_Allgather time [us]= *256.801040
