XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4b
alveo4c
alveo3b
alveo2b
alveo1b
alveo1a
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:100
Start Reduce test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:32768, num_elements:8192, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:32768, num_elements:8192, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:32768, num_elements:8192, num_trials:100
iteration:0, time[s]:0.002961
iteration:1, time[s]:0.000989
iteration:2, time[s]:0.000752
iteration:3, time[s]:0.000702
iteration:4, time[s]:0.000671
iteration:5, time[s]:0.000701
iteration:6, time[s]:0.000692
iteration:7, time[s]:0.000721
iteration:8, time[s]:0.000662
iteration:9, time[s]:0.000575
iteration:10, time[s]:0.000648
iteration:11, time[s]:0.000628
iteration:12, time[s]:0.000657
iteration:13, time[s]:0.000673
iteration:14, time[s]:0.000659
iteration:15, time[s]:0.000688
iteration:16, time[s]:0.000596
iteration:17, time[s]:0.000700
iteration:18, time[s]:0.000694
iteration:19, time[s]:0.000667
iteration:20, time[s]:0.000535
iteration:21, time[s]:0.000711
iteration:22, time[s]:0.000690
iteration:23, time[s]:0.000656
iteration:24, time[s]:0.000645
iteration:25, time[s]:0.000684
iteration:26, time[s]:0.000666
iteration:27, time[s]:0.000591
iteration:28, time[s]:0.000548
iteration:29, time[s]:0.000675
iteration:30, time[s]:0.000674
iteration:31, time[s]:0.000602
iteration:32, time[s]:0.000634
iteration:33, time[s]:0.000624
iteration:34, time[s]:0.000688
iteration:35, time[s]:0.000633
iteration:36, time[s]:0.000633
iteration:37, time[s]:0.000654
iteration:38, time[s]:0.000631
iteration:39, time[s]:0.000679
iteration:40, time[s]:0.000629
iteration:41, time[s]:0.000671
iteration:42, time[s]:0.000652
iteration:43, time[s]:0.000652
iteration:44, time[s]:0.000594
iteration:45, time[s]:0.000697
iteration:46, time[s]:0.000640
iteration:47, time[s]:0.000666
iteration:48, time[s]:0.000601
iteration:49, time[s]:0.000662
iteration:50, time[s]:0.000594
iteration:51, time[s]:0.000704
iteration:52, time[s]:0.000568
iteration:53, time[s]:0.000673
iteration:54, time[s]:0.000580
iteration:55, time[s]:0.000634
iteration:56, time[s]:0.000620
iteration:57, time[s]:0.000695
iteration:58, time[s]:0.000637
iteration:59, time[s]:0.000645
iteration:60, time[s]:0.000579
iteration:61, time[s]:0.000649
iteration:62, time[s]:0.000568
iteration:63, time[s]:0.000613
iteration:64, time[s]:0.000641
iteration:65, time[s]:0.000870
iteration:66, time[s]:0.000653
iteration:67, time[s]:0.000632
iteration:68, time[s]:0.000645
iteration:69, time[s]:0.000674
iteration:70, time[s]:0.000669
iteration:71, time[s]:0.000535
iteration:72, time[s]:0.000654
iteration:73, time[s]:0.000672
iteration:74, time[s]:0.000598
iteration:75, time[s]:0.000647
iteration:76, time[s]:0.000538
iteration:77, time[s]:0.000544
iteration:78, time[s]:0.000626
iteration:79, time[s]:0.000634
iteration:80, time[s]:0.000639
iteration:81, time[s]:0.000641
iteration:82, time[s]:0.000563
iteration:83, time[s]:0.000486
iteration:84, time[s]:0.000475
iteration:85, time[s]:0.000518
iteration:86, time[s]:0.000484
iteration:87, time[s]:0.000507
iteration:88, time[s]:0.000490
iteration:89, time[s]:0.000495
iteration:90, time[s]:0.000497
iteration:91, time[s]:0.000480
iteration:92, time[s]:0.000470
iteration:93, time[s]:0.000492
iteration:94, time[s]:0.000506
iteration:95, time[s]:0.000480
iteration:96, time[s]:0.000510
iteration:97, time[s]:0.000530
iteration:98, time[s]:0.000506
iteration:99, time[s]:0.000471
iteration:100, time[s]:0.000473
Data size = 32768, Trials = 100
Avg MPI time [us]= *620.992180, throughput [Gbps] = 0.422137
