alveo1a, bytes:32768, num_elements:8192, num_trials:100
alveo2a, bytes:32768, num_elements:8192, num_trials:100
alveo2b, bytes:32768, num_elements:8192, num_trials:100
alveo1b, bytes:32768, num_elements:8192, num_trials:100
iteration:0, time[s]:0.001236
iteration:1, time[s]:0.000290
iteration:2, time[s]:0.000247
iteration:3, time[s]:0.000253
iteration:4, time[s]:0.000248
iteration:5, time[s]:0.000268
iteration:6, time[s]:0.000232
iteration:7, time[s]:0.000254
iteration:8, time[s]:0.000243
iteration:9, time[s]:0.000236
iteration:10, time[s]:0.000228
iteration:11, time[s]:0.000240
iteration:12, time[s]:0.000231
iteration:13, time[s]:0.000235
iteration:14, time[s]:0.000239
iteration:15, time[s]:0.000247
iteration:16, time[s]:0.000235
iteration:17, time[s]:0.000247
iteration:18, time[s]:0.000252
iteration:19, time[s]:0.000247
iteration:20, time[s]:0.000238
iteration:21, time[s]:0.000252
iteration:22, time[s]:0.000230
iteration:23, time[s]:0.000260
iteration:24, time[s]:0.000243
iteration:25, time[s]:0.000237
iteration:26, time[s]:0.000224
iteration:27, time[s]:0.000233
iteration:28, time[s]:0.000229
iteration:29, time[s]:0.000249
iteration:30, time[s]:0.000217
iteration:31, time[s]:0.000247
iteration:32, time[s]:0.000243
iteration:33, time[s]:0.000253
iteration:34, time[s]:0.000207
iteration:35, time[s]:0.000217
iteration:36, time[s]:0.000235
iteration:37, time[s]:0.000221
iteration:38, time[s]:0.000228
iteration:39, time[s]:0.000218
iteration:40, time[s]:0.000228
iteration:41, time[s]:0.000234
iteration:42, time[s]:0.000238
iteration:43, time[s]:0.000213
iteration:44, time[s]:0.000229
iteration:45, time[s]:0.000228
iteration:46, time[s]:0.000212
iteration:47, time[s]:0.000218
iteration:48, time[s]:0.000231
iteration:49, time[s]:0.000224
iteration:50, time[s]:0.000217
iteration:51, time[s]:0.000211
iteration:52, time[s]:0.000222
iteration:53, time[s]:0.000248
iteration:54, time[s]:0.000219
iteration:55, time[s]:0.000216
iteration:56, time[s]:0.000218
iteration:57, time[s]:0.000219
iteration:58, time[s]:0.000236
iteration:59, time[s]:0.000221
iteration:60, time[s]:0.000230
iteration:61, time[s]:0.000232
iteration:62, time[s]:0.000211
iteration:63, time[s]:0.000223
iteration:64, time[s]:0.000235
iteration:65, time[s]:0.000212
iteration:66, time[s]:0.000213
iteration:67, time[s]:0.000218
iteration:68, time[s]:0.000222
iteration:69, time[s]:0.000219
iteration:70, time[s]:0.000211
iteration:71, time[s]:0.000203
iteration:72, time[s]:0.000247
iteration:73, time[s]:0.000218
iteration:74, time[s]:0.000203
iteration:75, time[s]:0.000193
iteration:76, time[s]:0.000210
iteration:77, time[s]:0.000209
iteration:78, time[s]:0.000202
iteration:79, time[s]:0.000297
iteration:80, time[s]:0.000211
iteration:81, time[s]:0.000211
iteration:82, time[s]:0.000207
iteration:83, time[s]:0.000207
iteration:84, time[s]:0.000210
iteration:85, time[s]:0.000218
iteration:86, time[s]:0.000203
iteration:87, time[s]:0.000290
iteration:88, time[s]:0.000222
iteration:89, time[s]:0.000218
iteration:90, time[s]:0.000213
iteration:91, time[s]:0.000219
iteration:92, time[s]:0.000208
iteration:93, time[s]:0.000220
iteration:94, time[s]:0.000211
iteration:95, time[s]:0.000199
iteration:96, time[s]:0.000196
iteration:97, time[s]:0.000182
iteration:98, time[s]:0.000208
iteration:99, time[s]:0.000171
iteration:100, time[s]:0.000207
Data size = 32768, Trials = 100
Avg MPI_reduce time [us]= *226.736970
