XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo3c
alveo4c
alveo1a
alveo4b
alveo3b
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8192, num_elements:2048, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8192, num_elements:2048, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8192, num_elements:2048, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8192, num_elements:2048, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:8192, num_elements:2048, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.000534, H2H_time:0.000110, sync_time:0.000423
iteration:1, F2F_time[s]:0.000329, H2H_time:0.000075, sync_time:0.000254
iteration:2, F2F_time[s]:0.000372, H2H_time:0.000074, sync_time:0.000299
iteration:3, F2F_time[s]:0.000385, H2H_time:0.000071, sync_time:0.000314
iteration:4, F2F_time[s]:0.000343, H2H_time:0.000072, sync_time:0.000270
iteration:5, F2F_time[s]:0.000365, H2H_time:0.000078, sync_time:0.000287
iteration:6, F2F_time[s]:0.000340, H2H_time:0.000069, sync_time:0.000271
iteration:7, F2F_time[s]:0.000341, H2H_time:0.000066, sync_time:0.000275
iteration:8, F2F_time[s]:0.000338, H2H_time:0.000067, sync_time:0.000272
iteration:9, F2F_time[s]:0.000330, H2H_time:0.000061, sync_time:0.000269
iteration:10, F2F_time[s]:0.000337, H2H_time:0.000076, sync_time:0.000262
iteration:11, F2F_time[s]:0.000332, H2H_time:0.000065, sync_time:0.000267
iteration:12, F2F_time[s]:0.000320, H2H_time:0.000064, sync_time:0.000256
iteration:13, F2F_time[s]:0.000332, H2H_time:0.000064, sync_time:0.000268
iteration:14, F2F_time[s]:0.000340, H2H_time:0.000075, sync_time:0.000264
iteration:15, F2F_time[s]:0.000335, H2H_time:0.000065, sync_time:0.000271
iteration:16, F2F_time[s]:0.000334, H2H_time:0.000064, sync_time:0.000270
iteration:17, F2F_time[s]:0.000333, H2H_time:0.000066, sync_time:0.000267
iteration:18, F2F_time[s]:0.000329, H2H_time:0.000063, sync_time:0.000265
iteration:19, F2F_time[s]:0.000326, H2H_time:0.000064, sync_time:0.000262
iteration:20, F2F_time[s]:0.000338, H2H_time:0.000075, sync_time:0.000263
iteration:21, F2F_time[s]:0.000346, H2H_time:0.000075, sync_time:0.000271
iteration:22, F2F_time[s]:0.000350, H2H_time:0.000075, sync_time:0.000276
iteration:23, F2F_time[s]:0.000331, H2H_time:0.000065, sync_time:0.000266
iteration:24, F2F_time[s]:0.000311, H2H_time:0.000058, sync_time:0.000253
iteration:25, F2F_time[s]:0.000344, H2H_time:0.000064, sync_time:0.000280
iteration:26, F2F_time[s]:0.000327, H2H_time:0.000071, sync_time:0.000256
iteration:27, F2F_time[s]:0.000313, H2H_time:0.000059, sync_time:0.000254
iteration:28, F2F_time[s]:0.000314, H2H_time:0.000057, sync_time:0.000257
iteration:29, F2F_time[s]:0.000312, H2H_time:0.000057, sync_time:0.000255
iteration:30, F2F_time[s]:0.000310, H2H_time:0.000058, sync_time:0.000253
iteration:31, F2F_time[s]:0.000310, H2H_time:0.000058, sync_time:0.000252
iteration:32, F2F_time[s]:0.000307, H2H_time:0.000056, sync_time:0.000251
iteration:33, F2F_time[s]:0.000311, H2H_time:0.000062, sync_time:0.000249
iteration:34, F2F_time[s]:0.000349, H2H_time:0.000058, sync_time:0.000291
iteration:35, F2F_time[s]:0.000316, H2H_time:0.000060, sync_time:0.000255
iteration:36, F2F_time[s]:0.000301, H2H_time:0.000053, sync_time:0.000248
iteration:37, F2F_time[s]:0.000318, H2H_time:0.000058, sync_time:0.000260
iteration:38, F2F_time[s]:0.000309, H2H_time:0.000054, sync_time:0.000255
iteration:39, F2F_time[s]:0.000305, H2H_time:0.000057, sync_time:0.000247
iteration:40, F2F_time[s]:0.000312, H2H_time:0.000056, sync_time:0.000256
iteration:41, F2F_time[s]:0.000303, H2H_time:0.000053, sync_time:0.000249
iteration:42, F2F_time[s]:0.000309, H2H_time:0.000057, sync_time:0.000252
iteration:43, F2F_time[s]:0.000310, H2H_time:0.000056, sync_time:0.000254
iteration:44, F2F_time[s]:0.000307, H2H_time:0.000055, sync_time:0.000253
iteration:45, F2F_time[s]:0.000307, H2H_time:0.000055, sync_time:0.000252
iteration:46, F2F_time[s]:0.000315, H2H_time:0.000059, sync_time:0.000257
iteration:47, F2F_time[s]:0.000311, H2H_time:0.000057, sync_time:0.000255
iteration:48, F2F_time[s]:0.000305, H2H_time:0.000055, sync_time:0.000250
iteration:49, F2F_time[s]:0.000307, H2H_time:0.000057, sync_time:0.000249
iteration:50, F2F_time[s]:0.000309, H2H_time:0.000055, sync_time:0.000254
iteration:51, F2F_time[s]:0.000315, H2H_time:0.000067, sync_time:0.000248
iteration:52, F2F_time[s]:0.000312, H2H_time:0.000067, sync_time:0.000245
iteration:53, F2F_time[s]:0.000308, H2H_time:0.000062, sync_time:0.000246
iteration:54, F2F_time[s]:0.000303, H2H_time:0.000060, sync_time:0.000243
iteration:55, F2F_time[s]:0.000311, H2H_time:0.000062, sync_time:0.000249
iteration:56, F2F_time[s]:0.000315, H2H_time:0.000067, sync_time:0.000248
iteration:57, F2F_time[s]:0.000319, H2H_time:0.000067, sync_time:0.000252
